Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age
34,05-01-2020 07:00,01-02-2020 09:00,03-01-2020 02:40,Patna,575,VEHICLE - STOLEN,24
35,04-01-2020 21:00,01-02-2020 10:00,02-01-2020 22:18,Kanpur,341,VANDALISM,34
36,04-01-2020 21:00,01-02-2020 11:00,02-01-2020 17:48,Chennai,396,COUNTERFEITING,32
37,03-01-2020 05:00,01-02-2020 12:00,03-01-2020 00:18,Lucknow,187,SEXUAL ASSAULT,33
38,04-01-2020 05:00,01-02-2020 13:00,02-01-2020 18:04,Varanasi,280,SHOPLIFTING,22
39,03-01-2020 23:00,01-02-2020 14:00,02-01-2020 21:24,Surat,487,VEHICLE - STOLEN,32
40,03-01-2020 02:00,01-02-2020 15:00,03-01-2020 14:05,Mumbai,154,FRAUD,69
41,05-01-2020 01:00,01-02-2020 16:00,03-01-2020 01:51,Visakhapatnam,148,HOMICIDE,28
42,03-01-2020 11:00,01-02-2020 17:00,03-01-2020 11:09,Surat,583,ILLEGAL POSSESSION,42
43,03-01-2020 03:00,01-02-2020 18:00,03-01-2020 09:30,Delhi,172,FIREARM OFFENSE,40
44,04-01-2020 07:00,01-02-2020 19:00,03-01-2020 08:34,Mumbai,300,SEXUAL ASSAULT,44
45,05-01-2020 19:00,01-02-2020 20:00,03-01-2020 06:22,Kolkata,387,ARSON,44
46,04-01-2020 19:00,01-02-2020 21:00,03-01-2020 09:02,Patna,297,DRUG OFFENSE,67
47,05-01-2020 04:00,01-02-2020 22:00,03-01-2020 09:55,Delhi,555,ROBBERY,47
48,05-01-2020 17:00,01-02-2020 23:00,03-01-2020 03:42,Lucknow,128,FIREARM OFFENSE,38
49,05-01-2020 19:00,01-03-2020 00:00,03-01-2020 02:59,Jaipur,139,ILLEGAL POSSESSION,77
50,03-01-2020 13:00,01-03-2020 01:00,03-01-2020 06:06,Hyderabad,561,DRUG OFFENSE,37
51,03-01-2020 05:00,01-03-2020 02:00,03-01-2020 17:10,Nagpur,573,BURGLARY,54
52,05-01-2020 12:00,01-03-2020 03:00,03-01-2020 19:13,Kolkata,260,BURGLARY,38
53,05-01-2020 00:00,01-03-2020 04:00,03-01-2020 22:01,Ghaziabad,211,PUBLIC INTOXICATION,29
54,05-01-2020 10:00,01-03-2020 05:00,03-01-2020 18:47,Delhi,312,BURGLARY,75
55,06-01-2020 02:00,01-03-2020 06:00,03-01-2020 07:47,Pune,548,FIREARM OFFENSE,61
56,04-01-2020 04:00,01-03-2020 07:00,03-01-2020 11:11,Meerut,596,BURGLARY,49
57,06-01-2020 01:00,01-03-2020 08:00,03-01-2020 20:16,Kanpur,188,SEXUAL ASSAULT,67
58,03-01-2020 18:00,01-03-2020 09:00,03-01-2020 09:43,Ahmedabad,110,ASSAULT,70
59,04-01-2020 14:00,01-03-2020 10:00,04-01-2020 02:40,Chennai,449,TRAFFIC VIOLATION,75
60,05-01-2020 18:00,01-03-2020 11:00,04-01-2020 05:33,Thane,352,SHOPLIFTING,53
61,03-01-2020 22:00,01-03-2020 12:00,03-01-2020 15:04,Mumbai,196,SHOPLIFTING,16
62,05-01-2020 21:00,01-03-2020 13:00,04-01-2020 03:32,Surat,359,DRUG OFFENSE,30
63,03-01-2020 20:00,01-03-2020 14:00,04-01-2020 09:27,Chennai,495,FRAUD,56
64,06-01-2020 06:00,01-03-2020 15:00,03-01-2020 23:24,Thane,259,ILLEGAL POSSESSION,19
65,05-01-2020 18:00,01-03-2020 16:00,04-01-2020 00:59,Visakhapatnam,289,DRUG OFFENSE,58
66,06-01-2020 14:00,01-03-2020 17:00,04-01-2020 11:49,Lucknow,409,EXTORTION,45
67,03-01-2020 21:00,01-03-2020 18:00,04-01-2020 17:48,Bhopal,306,CYBERCRIME,25
68,04-01-2020 20:00,01-03-2020 19:00,04-01-2020 08:46,Visakhapatnam,420,BURGLARY,22
69,06-01-2020 09:00,01-03-2020 20:00,04-01-2020 02:24,Hyderabad,469,PUBLIC INTOXICATION,59
70,06-01-2020 12:00,01-03-2020 21:00,04-01-2020 17:23,Visakhapatnam,292,FIREARM OFFENSE,31
71,06-01-2020 20:00,01-03-2020 22:00,04-01-2020 00:50,Kolkata,512,FIREARM OFFENSE,58
72,05-01-2020 18:00,01-03-2020 23:00,04-01-2020 11:34,Nagpur,244,ARSON,53
73,05-01-2020 21:00,01-04-2020 00:00,04-01-2020 07:58,Lucknow,269,BURGLARY,35
74,06-01-2020 05:00,01-04-2020 01:00,04-01-2020 03:01,Chennai,524,ARSON,36
75,05-01-2020 02:00,01-04-2020 02:00,05-01-2020 01:45,Ahmedabad,404,CYBERCRIME,70
76,06-01-2020 00:00,01-04-2020 03:00,04-01-2020 20:57,Delhi,191,VANDALISM,52
77,04-01-2020 22:00,01-04-2020 04:00,04-01-2020 14:30,Mumbai,369,KIDNAPPING,25
78,05-01-2020 21:00,01-04-2020 05:00,04-01-2020 17:02,Indore,517,IDENTITY THEFT,58
79,05-01-2020 20:00,01-04-2020 06:00,05-01-2020 03:40,Mumbai,229,ROBBERY,39
80,07-01-2020 03:00,01-04-2020 07:00,04-01-2020 23:54,Visakhapatnam,154,VEHICLE - STOLEN,54
81,05-01-2020 03:00,01-04-2020 08:00,04-01-2020 23:33,Delhi,197,ASSAULT,61
82,06-01-2020 05:00,01-04-2020 09:00,04-01-2020 15:37,Jaipur,421,FRAUD,16
83,06-01-2020 12:00,01-04-2020 10:00,05-01-2020 09:17,Mumbai,305,ROBBERY,25
84,04-01-2020 19:00,01-04-2020 11:00,05-01-2020 06:13,Kolkata,150,TRAFFIC VIOLATION,72
85,05-01-2020 18:00,01-04-2020 12:00,04-01-2020 12:40,Lucknow,542,PUBLIC INTOXICATION,48
86,06-01-2020 17:00,01-04-2020 13:00,05-01-2020 06:42,Mumbai,438,VANDALISM,22
87,07-01-2020 06:00,01-04-2020 14:00,04-01-2020 16:00,Lucknow,498,PUBLIC INTOXICATION,30
88,07-01-2020 03:00,01-04-2020 15:00,04-01-2020 22:04,Rajkot,345,ROBBERY,11
89,06-01-2020 22:00,01-04-2020 16:00,04-01-2020 21:21,Mumbai,108,HOMICIDE,16
90,06-01-2020 18:00,01-04-2020 17:00,05-01-2020 06:38,Hyderabad,219,VEHICLE - STOLEN,73
91,05-01-2020 04:00,01-04-2020 18:00,05-01-2020 17:15,Kolkata,219,BURGLARY,72
92,04-01-2020 20:00,01-04-2020 19:00,05-01-2020 09:21,Jaipur,510,CYBERCRIME,60
93,05-01-2020 16:00,01-04-2020 20:00,05-01-2020 07:36,Hyderabad,597,FRAUD,53
94,06-01-2020 21:00,01-04-2020 21:00,05-01-2020 08:12,Mumbai,272,SEXUAL ASSAULT,42
95,06-01-2020 08:00,01-04-2020 22:00,04-01-2020 22:16,Vasai,413,PUBLIC INTOXICATION,10
96,06-01-2020 08:00,01-04-2020 23:00,05-01-2020 14:10,Hyderabad,355,DRUG OFFENSE,51
97,06-01-2020 02:00,01-05-2020 00:00,05-01-2020 15:36,Nagpur,523,IDENTITY THEFT,26
98,06-01-2020 17:00,01-05-2020 01:00,05-01-2020 02:56,Kolkata,486,SEXUAL ASSAULT,71
99,06-01-2020 23:00,01-05-2020 02:00,05-01-2020 14:38,Hyderabad,292,IDENTITY THEFT,74
100,06-01-2020 20:00,01-05-2020 03:00,05-01-2020 06:41,Hyderabad,455,DRUG OFFENSE,13
101,06-01-2020 23:00,01-05-2020 04:00,05-01-2020 14:02,Ahmedabad,515,PUBLIC INTOXICATION,50
102,05-01-2020 16:00,01-05-2020 05:00,05-01-2020 22:34,Mumbai,566,EXTORTION,69
103,07-01-2020 00:00,01-05-2020 06:00,05-01-2020 17:43,Kanpur,419,ASSAULT,34
104,07-01-2020 16:00,01-05-2020 07:00,05-01-2020 14:13,Mumbai,250,VEHICLE - STOLEN,38
105,06-01-2020 23:00,01-05-2020 08:00,05-01-2020 19:30,Lucknow,597,FRAUD,44
106,06-01-2020 00:00,01-05-2020 09:00,05-01-2020 10:05,Hyderabad,583,VEHICLE - STOLEN,69
107,05-01-2020 11:00,01-05-2020 10:00,05-01-2020 17:21,Lucknow,342,DOMESTIC VIOLENCE,12
108,07-01-2020 12:00,01-05-2020 11:00,06-01-2020 09:35,Bangalore,417,ARSON,21
109,07-01-2020 20:00,01-05-2020 12:00,06-01-2020 00:07,Chennai,169,PUBLIC INTOXICATION,55
110,05-01-2020 17:00,01-05-2020 13:00,05-01-2020 23:32,Delhi,464,ARSON,15
111,07-01-2020 04:00,01-05-2020 14:00,05-01-2020 23:24,Visakhapatnam,500,ILLEGAL POSSESSION,58
112,08-01-2020 05:00,01-05-2020 15:00,06-01-2020 07:02,Delhi,183,COUNTERFEITING,37
113,07-01-2020 09:00,01-05-2020 16:00,06-01-2020 14:55,Bangalore,270,HOMICIDE,49
114,06-01-2020 15:00,01-05-2020 17:00,06-01-2020 06:42,Surat,259,EXTORTION,30
115,07-01-2020 13:00,01-05-2020 18:00,06-01-2020 08:02,Pune,184,FIREARM OFFENSE,50
116,05-01-2020 20:00,01-05-2020 19:00,06-01-2020 06:26,Mumbai,353,BURGLARY,64
117,07-01-2020 04:00,01-05-2020 20:00,06-01-2020 10:15,Lucknow,235,VANDALISM,43
118,06-01-2020 20:00,01-05-2020 21:00,06-01-2020 02:16,Delhi,287,DRUG OFFENSE,32
119,07-01-2020 19:00,01-05-2020 22:00,05-01-2020 23:48,Mumbai,257,ILLEGAL POSSESSION,14
120,07-01-2020 02:00,01-05-2020 23:00,06-01-2020 07:04,Pune,537,TRAFFIC VIOLATION,70
121,07-01-2020 14:00,01-06-2020 00:00,06-01-2020 12:16,Ahmedabad,277,VEHICLE - STOLEN,78
122,08-01-2020 19:00,01-06-2020 01:00,06-01-2020 22:59,Delhi,321,KIDNAPPING,22
123,06-01-2020 04:00,01-06-2020 02:00,07-01-2020 00:00,Bhopal,432,VANDALISM,60
124,08-01-2020 23:00,01-06-2020 03:00,06-01-2020 06:56,Ludhiana,129,SEXUAL ASSAULT,44
125,09-01-2020 00:00,01-06-2020 04:00,06-01-2020 19:19,Pune,347,FRAUD,30
126,09-01-2020 02:00,01-06-2020 05:00,06-01-2020 05:15,Pune,127,ASSAULT,62
127,07-01-2020 07:00,01-06-2020 06:00,07-01-2020 00:44,Surat,117,FIREARM OFFENSE,42
128,07-01-2020 04:00,01-06-2020 07:00,07-01-2020 02:17,Ghaziabad,339,IDENTITY THEFT,73
129,09-01-2020 04:00,01-06-2020 08:00,06-01-2020 12:39,Kanpur,374,SHOPLIFTING,25
130,08-01-2020 14:00,01-06-2020 09:00,06-01-2020 14:55,Ghaziabad,111,ROBBERY,33
131,08-01-2020 13:00,01-06-2020 10:00,06-01-2020 19:26,Agra,331,ARSON,13
132,07-01-2020 04:00,01-06-2020 11:00,07-01-2020 06:55,Lucknow,295,IDENTITY THEFT,39
133,06-01-2020 23:00,01-06-2020 12:00,06-01-2020 19:17,Bangalore,309,HOMICIDE,18
134,06-01-2020 22:00,01-06-2020 13:00,07-01-2020 00:56,Lucknow,465,ILLEGAL POSSESSION,75
135,06-01-2020 18:00,01-06-2020 14:00,07-01-2020 07:26,Delhi,406,VANDALISM,50
136,09-01-2020 07:00,01-06-2020 15:00,07-01-2020 02:16,Delhi,278,FRAUD,71
137,07-01-2020 23:00,01-06-2020 16:00,07-01-2020 01:01,Ahmedabad,569,PUBLIC INTOXICATION,38
138,08-01-2020 12:00,01-06-2020 17:00,06-01-2020 20:11,Mumbai,445,ASSAULT,12
139,08-01-2020 17:00,01-06-2020 18:00,07-01-2020 07:11,Kanpur,465,KIDNAPPING,57
140,08-01-2020 16:00,01-06-2020 19:00,07-01-2020 01:17,Jaipur,404,CYBERCRIME,47
141,08-01-2020 13:00,01-06-2020 20:00,07-01-2020 14:13,Delhi,270,DOMESTIC VIOLENCE,73
142,07-01-2020 23:00,01-06-2020 21:00,07-01-2020 06:34,Mumbai,113,FIREARM OFFENSE,41
143,07-01-2020 09:00,01-06-2020 22:00,07-01-2020 12:37,Mumbai,278,ILLEGAL POSSESSION,45
144,07-01-2020 06:00,01-06-2020 23:00,07-01-2020 16:49,Varanasi,487,ASSAULT,79
145,08-01-2020 20:00,01-07-2020 00:00,07-01-2020 03:38,Ludhiana,172,IDENTITY THEFT,17
146,08-01-2020 01:00,01-07-2020 01:00,07-01-2020 16:44,Kolkata,165,PUBLIC INTOXICATION,15
147,07-01-2020 16:00,01-07-2020 02:00,07-01-2020 18:49,Meerut,514,CYBERCRIME,44
148,07-01-2020 16:00,01-07-2020 03:00,07-01-2020 22:27,Bangalore,262,COUNTERFEITING,28
149,07-01-2020 06:00,01-07-2020 04:00,08-01-2020 01:09,Agra,558,IDENTITY THEFT,41
150,07-01-2020 08:00,01-07-2020 05:00,07-01-2020 11:19,Patna,157,SHOPLIFTING,46
151,08-01-2020 08:00,01-07-2020 06:00,07-01-2020 13:59,Bhopal,241,DRUG OFFENSE,35
152,07-01-2020 08:00,01-07-2020 07:00,07-01-2020 16:17,Bangalore,311,ILLEGAL POSSESSION,67
153,08-01-2020 01:00,01-07-2020 08:00,07-01-2020 17:21,Delhi,248,IDENTITY THEFT,23
154,09-01-2020 16:00,01-07-2020 09:00,07-01-2020 19:49,Chennai,523,KIDNAPPING,39
155,10-01-2020 06:00,01-07-2020 10:00,07-01-2020 19:37,Bangalore,238,DOMESTIC VIOLENCE,48
156,10-01-2020 05:00,01-07-2020 11:00,07-01-2020 12:05,Pune,109,DOMESTIC VIOLENCE,71
157,07-01-2020 13:00,01-07-2020 12:00,07-01-2020 13:48,Hyderabad,448,COUNTERFEITING,32
158,08-01-2020 16:00,01-07-2020 13:00,08-01-2020 03:32,Ahmedabad,588,HOMICIDE,18
159,09-01-2020 18:00,01-07-2020 14:00,08-01-2020 06:49,Delhi,236,VEHICLE - STOLEN,38
160,07-01-2020 19:00,01-07-2020 15:00,08-01-2020 14:26,Kolkata,509,ASSAULT,27
161,09-01-2020 03:00,01-07-2020 16:00,08-01-2020 09:21,Meerut,321,COUNTERFEITING,30
162,07-01-2020 21:00,01-07-2020 17:00,07-01-2020 17:22,Surat,420,CYBERCRIME,17
163,09-01-2020 16:00,01-07-2020 18:00,08-01-2020 09:50,Pune,589,SHOPLIFTING,39
164,08-01-2020 20:00,01-07-2020 19:00,08-01-2020 02:04,Pune,492,ARSON,66
165,10-01-2020 00:00,01-07-2020 20:00,08-01-2020 06:07,Ghaziabad,312,SEXUAL ASSAULT,11
166,10-01-2020 14:00,01-07-2020 21:00,08-01-2020 00:42,Ahmedabad,234,VANDALISM,54
167,08-01-2020 16:00,01-07-2020 22:00,08-01-2020 05:25,Delhi,470,VANDALISM,79
168,08-01-2020 22:00,01-07-2020 23:00,08-01-2020 02:01,Delhi,518,FRAUD,12
169,08-01-2020 16:00,01-08-2020 00:00,08-01-2020 00:14,Lucknow,295,DRUG OFFENSE,19
170,10-01-2020 07:00,01-08-2020 01:00,08-01-2020 05:22,Kalyan,342,TRAFFIC VIOLATION,21
171,09-01-2020 11:00,01-08-2020 02:00,08-01-2020 18:43,Agra,352,COUNTERFEITING,24
172,08-01-2020 15:00,01-08-2020 03:00,09-01-2020 01:57,Jaipur,305,TRAFFIC VIOLATION,58
173,11-01-2020 03:00,01-08-2020 04:00,08-01-2020 13:20,Hyderabad,245,SEXUAL ASSAULT,51
174,09-01-2020 20:00,01-08-2020 05:00,09-01-2020 01:34,Indore,438,DRUG OFFENSE,40
175,09-01-2020 00:00,01-08-2020 06:00,08-01-2020 10:27,Surat,144,ROBBERY,64
176,09-01-2020 23:00,01-08-2020 07:00,08-01-2020 22:06,Lucknow,292,BURGLARY,66
177,08-01-2020 14:00,01-08-2020 08:00,09-01-2020 02:25,Chennai,134,FIREARM OFFENSE,28
178,09-01-2020 15:00,01-08-2020 09:00,08-01-2020 16:59,Mumbai,331,ILLEGAL POSSESSION,54
179,10-01-2020 12:00,01-08-2020 10:00,09-01-2020 07:31,Agra,191,FRAUD,42
180,10-01-2020 01:00,01-08-2020 11:00,09-01-2020 02:31,Pune,584,DOMESTIC VIOLENCE,72
181,10-01-2020 18:00,01-08-2020 12:00,09-01-2020 07:34,Bangalore,341,TRAFFIC VIOLATION,23
182,10-01-2020 13:00,01-08-2020 13:00,09-01-2020 12:16,Mumbai,541,CYBERCRIME,53
183,10-01-2020 09:00,01-08-2020 14:00,08-01-2020 17:18,Ahmedabad,133,SEXUAL ASSAULT,28
184,10-01-2020 04:00,01-08-2020 15:00,08-01-2020 23:28,Hyderabad,422,SEXUAL ASSAULT,27
185,08-01-2020 19:00,01-08-2020 16:00,08-01-2020 17:27,Mumbai,151,FRAUD,67
186,11-01-2020 15:00,01-08-2020 17:00,09-01-2020 08:32,Bangalore,287,FRAUD,70
187,09-01-2020 09:00,01-08-2020 18:00,09-01-2020 10:28,Delhi,541,VANDALISM,75
188,09-01-2020 18:00,01-08-2020 19:00,09-01-2020 18:53,Nagpur,236,IDENTITY THEFT,66
189,09-01-2020 04:00,01-08-2020 20:00,09-01-2020 03:24,Hyderabad,415,EXTORTION,24
190,11-01-2020 05:00,01-08-2020 21:00,08-01-2020 21:24,Chennai,151,CYBERCRIME,44
191,09-01-2020 15:00,01-08-2020 22:00,09-01-2020 15:53,Chennai,268,KIDNAPPING,63
192,09-01-2020 02:00,01-08-2020 23:00,09-01-2020 20:39,Delhi,381,IDENTITY THEFT,18
193,10-01-2020 20:00,01-09-2020 00:00,09-01-2020 05:28,Ghaziabad,249,PUBLIC INTOXICATION,19
194,09-01-2020 09:00,01-09-2020 01:00,09-01-2020 04:00,Jaipur,389,DOMESTIC VIOLENCE,49
195,11-01-2020 16:00,01-09-2020 02:00,09-01-2020 08:16,Delhi,235,ILLEGAL POSSESSION,33
196,10-01-2020 04:00,01-09-2020 03:00,10-01-2020 00:18,Lucknow,562,DOMESTIC VIOLENCE,56
197,10-01-2020 10:00,01-09-2020 04:00,09-01-2020 15:55,Ahmedabad,287,PUBLIC INTOXICATION,32
198,11-01-2020 17:00,01-09-2020 05:00,09-01-2020 10:20,Hyderabad,316,EXTORTION,25
199,10-01-2020 09:00,01-09-2020 06:00,09-01-2020 21:01,Delhi,367,ARSON,62
200,11-01-2020 13:00,01-09-2020 07:00,10-01-2020 02:06,Nashik,471,HOMICIDE,56
201,11-01-2020 23:00,01-09-2020 08:00,10-01-2020 04:27,Srinagar,365,COUNTERFEITING,27
202,12-01-2020 08:00,01-09-2020 09:00,09-01-2020 18:52,Nagpur,484,FRAUD,63
203,10-01-2020 04:00,01-09-2020 10:00,09-01-2020 12:58,Mumbai,257,DRUG OFFENSE,34
204,11-01-2020 16:00,01-09-2020 11:00,09-01-2020 13:00,Lucknow,427,KIDNAPPING,16
205,11-01-2020 04:00,01-09-2020 12:00,10-01-2020 02:34,Hyderabad,340,SHOPLIFTING,59
206,09-01-2020 22:00,01-09-2020 13:00,09-01-2020 23:51,Thane,246,VEHICLE - STOLEN,44
207,11-01-2020 08:00,01-09-2020 14:00,10-01-2020 12:37,Bangalore,376,COUNTERFEITING,21
208,09-01-2020 19:00,01-09-2020 15:00,09-01-2020 20:15,Patna,542,ASSAULT,59
209,10-01-2020 11:00,01-09-2020 16:00,09-01-2020 17:29,Hyderabad,257,EXTORTION,41
210,12-01-2020 03:00,01-09-2020 17:00,10-01-2020 06:07,Kolkata,573,PUBLIC INTOXICATION,43
211,11-01-2020 10:00,01-09-2020 18:00,09-01-2020 20:05,Bhopal,148,COUNTERFEITING,15
212,10-01-2020 00:00,01-09-2020 19:00,10-01-2020 14:15,Delhi,439,FIREARM OFFENSE,34
213,11-01-2020 23:00,01-09-2020 20:00,10-01-2020 07:00,Kolkata,598,IDENTITY THEFT,19
214,11-01-2020 05:00,01-09-2020 21:00,10-01-2020 02:45,Bangalore,239,VEHICLE - STOLEN,73
215,11-01-2020 16:00,01-09-2020 22:00,10-01-2020 00:56,Delhi,267,SEXUAL ASSAULT,44
216,10-01-2020 16:00,01-09-2020 23:00,10-01-2020 09:23,Ahmedabad,163,SHOPLIFTING,14
217,12-01-2020 18:00,01-10-2020 00:00,10-01-2020 05:32,Kolkata,572,COUNTERFEITING,73
218,11-01-2020 15:00,01-10-2020 01:00,10-01-2020 23:36,Surat,561,FRAUD,49
219,12-01-2020 20:00,01-10-2020 02:00,10-01-2020 08:44,Pune,336,TRAFFIC VIOLATION,61
220,12-01-2020 11:00,01-10-2020 03:00,10-01-2020 17:27,Nagpur,563,BURGLARY,68
221,10-01-2020 23:00,01-10-2020 04:00,11-01-2020 03:16,Kolkata,218,VEHICLE - STOLEN,24
222,11-01-2020 08:00,01-10-2020 05:00,10-01-2020 05:29,Ludhiana,276,KIDNAPPING,69
223,11-01-2020 21:00,01-10-2020 06:00,10-01-2020 19:37,Bangalore,570,FRAUD,55
224,12-01-2020 21:00,01-10-2020 07:00,10-01-2020 23:31,Chennai,307,ROBBERY,49
225,10-01-2020 19:00,01-10-2020 08:00,11-01-2020 00:10,Bangalore,153,CYBERCRIME,40
226,10-01-2020 15:00,01-10-2020 09:00,10-01-2020 15:46,Surat,340,HOMICIDE,51
227,12-01-2020 16:00,01-10-2020 10:00,10-01-2020 23:35,Mumbai,365,VANDALISM,35
228,10-01-2020 16:00,01-10-2020 11:00,11-01-2020 01:56,Pune,269,COUNTERFEITING,65
229,13-01-2020 05:00,01-10-2020 12:00,11-01-2020 04:03,Jaipur,247,VEHICLE - STOLEN,61
230,11-01-2020 00:00,01-10-2020 13:00,11-01-2020 08:27,Ahmedabad,190,VANDALISM,35
231,12-01-2020 23:00,01-10-2020 14:00,10-01-2020 22:47,Pune,429,IDENTITY THEFT,45
232,12-01-2020 15:00,01-10-2020 15:00,11-01-2020 04:38,Patna,547,ARSON,32
233,12-01-2020 17:00,01-10-2020 16:00,10-01-2020 19:09,Mumbai,136,HOMICIDE,11
234,11-01-2020 17:00,01-10-2020 17:00,11-01-2020 03:46,Kolkata,254,ASSAULT,40
235,12-01-2020 21:00,01-10-2020 18:00,10-01-2020 20:30,Mumbai,514,TRAFFIC VIOLATION,23
236,13-01-2020 02:00,01-10-2020 19:00,10-01-2020 22:34,Ludhiana,105,ARSON,14
237,12-01-2020 13:00,01-10-2020 20:00,11-01-2020 06:53,Visakhapatnam,561,CYBERCRIME,23
238,12-01-2020 02:00,01-10-2020 21:00,11-01-2020 04:23,Chennai,583,CYBERCRIME,35
239,12-01-2020 17:00,01-10-2020 22:00,11-01-2020 10:13,Delhi,418,FIREARM OFFENSE,65
240,11-01-2020 11:00,01-10-2020 23:00,11-01-2020 11:41,Hyderabad,466,FIREARM OFFENSE,51
241,12-01-2020 14:00,01-11-2020 00:00,11-01-2020 00:34,Mumbai,402,COUNTERFEITING,35
242,11-01-2020 08:00,01-11-2020 01:00,11-01-2020 03:03,Bangalore,188,VANDALISM,59
243,12-01-2020 01:00,01-11-2020 02:00,11-01-2020 11:51,Pune,512,FRAUD,48
244,13-01-2020 22:00,01-11-2020 03:00,11-01-2020 10:11,Kalyan,388,SEXUAL ASSAULT,18
245,13-01-2020 00:00,01-11-2020 04:00,11-01-2020 14:49,Nagpur,423,ROBBERY,58
246,11-01-2020 21:00,01-11-2020 05:00,11-01-2020 17:14,Kolkata,399,ILLEGAL POSSESSION,65
247,13-01-2020 11:00,01-11-2020 06:00,11-01-2020 08:58,Nagpur,432,EXTORTION,38
248,14-01-2020 03:00,01-11-2020 07:00,11-01-2020 20:32,Ahmedabad,262,IDENTITY THEFT,77
249,13-01-2020 23:00,01-11-2020 08:00,12-01-2020 07:14,Thane,293,DOMESTIC VIOLENCE,70
250,13-01-2020 22:00,01-11-2020 09:00,11-01-2020 21:57,Nagpur,164,EXTORTION,11
251,14-01-2020 07:00,01-11-2020 10:00,12-01-2020 02:39,Delhi,342,FIREARM OFFENSE,45
252,13-01-2020 05:00,01-11-2020 11:00,11-01-2020 15:11,Thane,182,SHOPLIFTING,71
253,12-01-2020 03:00,01-11-2020 12:00,12-01-2020 01:17,Hyderabad,362,TRAFFIC VIOLATION,11
254,12-01-2020 18:00,01-11-2020 13:00,11-01-2020 15:04,Nashik,123,ILLEGAL POSSESSION,39
